epoch 13 average x_t_loss, x_1_loss, prob_loss, val losses: 4.749917984008789, 4.233867645263672, 15.683506965637207, 4.7344746589660645, 4.12103796005249, 15.129348754882812
epoch 14 average x_t_loss, x_1_loss, prob_loss, val losses: 4.7495880126953125, 4.200361251831055, 15.503005027770996, 4.776304244995117, 4.107570171356201, 14.931854248046875
epoch 15 average x_t_loss, x_1_loss, prob_loss, val losses: 4.748032093048096, 4.169243812561035, 15.3429594039917, 4.715834617614746, 4.080841064453125, 14.880232810974121
epoch 16 average x_t_loss, x_1_loss, prob_loss, val losses: 4.747283458709717, 4.142082691192627, 15.211137771606445, 4.743321895599365, 4.041222095489502, 14.74050521850586
epoch 17 average x_t_loss, x_1_loss, prob_loss, val losses: 4.750253677368164, 4.120422840118408, 15.09044075012207, 4.701961040496826, 4.012974262237549, 14.655869483947754
epoch 18 average x_t_loss, x_1_loss, prob_loss, val losses: 4.755424499511719, 4.102180004119873, 14.961957931518555, 4.784912586212158, 4.001702308654785, 14.438777923583984
epoch 19 average x_t_loss, x_1_loss, prob_loss, val losses: 4.758290767669678, 4.086181640625, 14.855884552001953, 4.755493640899658, 3.9863362312316895, 14.381253242492676
epoch 20 average x_t_loss, x_1_loss, prob_loss, val losses: 4.7614827156066895, 4.068091869354248, 14.757689476013184, 4.775960922241211, 3.960385322570801, 14.300148963928223
epoch 21 average x_t_loss, x_1_loss, prob_loss, val losses: 4.762562274932861, 4.051582336425781, 14.679377555847168, 4.735357761383057, 3.9532673358917236, 14.241950988769531
epoch 22 average x_t_loss, x_1_loss, prob_loss, val losses: 4.763942718505859, 4.036952495574951, 14.581559181213379, 4.764429569244385, 3.9388551712036133, 14.126216888427734
epoch 23 average x_t_loss, x_1_loss, prob_loss, val losses: 4.764895439147949, 4.020440578460693, 14.497886657714844, 4.789204120635986, 3.96421217918396, 14.036084175109863
epoch 24 average x_t_loss, x_1_loss, prob_loss, val losses: 4.764553546905518, 4.005401611328125, 14.431421279907227, 4.7724456787109375, 3.9353044033050537, 13.95359992980957
epoch 25 average x_t_loss, x_1_loss, prob_loss, val losses: 4.765507221221924, 3.990689992904663, 14.34177017211914, 4.734642028808594, 3.9029595851898193, 13.949108123779297
epoch 26 average x_t_loss, x_1_loss, prob_loss, val losses: 4.764931678771973, 3.9766297340393066, 14.269725799560547, 4.707213878631592, 3.9097697734832764, 13.941084861755371
epoch 27 average x_t_loss, x_1_loss, prob_loss, val losses: 4.765709400177002, 3.9651148319244385, 14.207945823669434, 4.713436603546143, 3.8910155296325684, 13.84772777557373
epoch 28 average x_t_loss, x_1_loss, prob_loss, val losses: 4.767914772033691, 3.954134941101074, 14.13007926940918, 4.760469913482666, 3.8933470249176025, 13.750234603881836
epoch 29 average x_t_loss, x_1_loss, prob_loss, val losses: 4.768650531768799, 3.943763017654419, 14.063631057739258, 4.736670017242432, 3.870576858520508, 13.696301460266113
epoch 30 average x_t_loss, x_1_loss, prob_loss, val losses: 4.771093845367432, 3.9346158504486084, 13.996241569519043, 4.764423847198486, 3.871122121810913, 13.612874984741211
epoch 31 average x_t_loss, x_1_loss, prob_loss, val losses: 4.772834777832031, 3.9253640174865723, 13.930341720581055, 4.79276704788208, 3.8699045181274414, 13.564131736755371
epoch 32 average x_t_loss, x_1_loss, prob_loss, val losses: 4.775856018066406, 3.9172139167785645, 13.87145709991455, 4.770265102386475, 3.840496063232422, 13.547958374023438
